username,password
wakefulHawk7,olUU2Rzhb3xfR8
wearyThrushe6,0ipVul3KhkJ
solidFalcon2,a9q5b8uIr
dearOcelot0,Ap3SzSndPq
boastfulWildfowl7,KX82PRoyBT9NPWI
crushedCordial3,uZ33tOlWL01S6
worldlyBagels0,FDK13BrROER
pridefulCow3,Q7nrHsUtmQL1
panickyCheese1,Xtnh77tolHOXDl
wakefulPiglet9,DgWpoUXwwFm35lB
superiorOcelot6,XvhQggpF
innocentPorpoise1,WGskbfbkp
tautPaella9,8OdYbsb3wg4
giddySyrup0,vtHYQFG7P
mercifulCurlew8,StQyNqEhDprdzOD
dopeyChile3,CLwynXGX
sugaryMare2,9VvqPeVTY3
thrilledSalami6,ih3Gx8ec
amusedPretzels5,cQ5b0NM1K
cockyCoconut3,ymlboDD6
